Date,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg),Avg Pressure (Hg),Min Pressure (Hg),Max Precipation (in),Avg Precipation (in),Min Precipation (in)
2017-10-01,68,59,50,48,44,39,89,-,37,10,-,0,30.41,-,30.28,-,0.00,-
2017-10-02,73,63,52,51,43,33,83,-,25,8,-,0,30.51,-,30.31,-,0.00,-
2017-10-03,71,64,57,53,49,45,80,-,47,9,-,0,30.65,-,30.52,-,0.00,-
2017-10-04,75,66,56,57,54,49,86,-,50,14,-,0,30.53,-,30.2,-,0.00,-
2017-10-05,83,74,65,66,59,56,78,-,49,14,-,4,30.19,-,30.03,-,0.00,-
2017-10-06,82,75,68,66,62,56,84,-,45,10,-,0,30.12,-,30.04,-,0.00,-
2017-10-07,81,74,66,67,65,61,100,-,54,10,-,0,30.16,-,30.03,-,0.00,-
2017-10-08,77,75,72,73,70,67,100,-,76,12,-,0,30.02,-,29.91,-,0.22,-
2017-10-09,77,74,71,74,72,71,100,-,87,12,-,0,30.02,-,29.83,-,0.26,-
2017-10-10,81,74,66,67,61,59,81,-,49,9,-,0,30.11,-,29.94,-,0.00,-
2017-10-11,77,69,60,64,59,55,100,-,57,14,-,0,30.18,-,30.08,-,0.06,-
2017-10-12,64,60,55,57,51,44,86,-,55,18,-,5,30.41,-,30.19,-,0.07,-
2017-10-13,67,60,52,57,51,45,84,-,63,12,-,0,30.47,-,30.33,-,0.00,-
2017-10-14,72,67,61,63,61,58,93,-,73,8,-,0,30.34,-,30.16,-,0.08,-
2017-10-15,74,70,65,65,63,61,93,-,73,15,-,0,30.15,-,29.8,-,0.00,-
2017-10-16,69,58,46,65,46,28,87,-,46,13,-,0,30.22,-,29.81,-,0.01,-
2017-10-17,58,50,42,40,33,29,70,-,33,10,-,0,30.35,-,30.22,-,0.00,-
2017-10-18,72,61,50,50,42,36,61,-,37,10,-,0,30.33,-,30.25,-,0.00,-
2017-10-19,71,64,56,47,44,41,72,-,36,13,-,0,30.27,-,30.08,-,0.00,-
2017-10-20,73,65,57,47,38,25,67,-,17,12,-,0,30.22,-,30.08,-,0.00,-
2017-10-21,78,67,56,47,39,35,52,-,22,8,-,0,30.35,-,30.22,-,0.00,-
2017-10-22,76,67,57,57,48,41,84,-,29,8,-,0,30.42,-,30.35,-,0.00,-
2017-10-23,74,68,61,65,61,58,93,-,68,7,-,0,30.36,-,29.98,-,0.00,-
2017-10-24,74,70,66,68,66,65,100,-,79,16,-,0,29.99,-,29.75,-,0.20,-
2017-10-25,67,62,57,64,49,38,93,-,43,9,-,0,29.74,-,29.67,-,0.00,-
2017-10-26,58,56,53,44,39,34,66,-,47,12,-,4,29.91,-,29.65,-,0.00,-
2017-10-27,62,55,47,46,38,34,67,-,34,10,-,0,30.12,-,29.93,-,0.00,-
2017-10-28,69,62,55,61,51,37,87,-,34,12,-,0,30.07,-,29.9,-,0.00,-
2017-10-29,67,64,60,66,62,59,100,-,87,18,-,0,29.91,-,28.92,-,3.03,-
2017-10-30,61,54,46,58,42,33,93,-,43,20,-,0,29.86,-,28.96,-,0.25,-
2017-10-31,57,51,45,39,32,27,71,-,35,17,-,0,30.25,-,29.87,-,0.00,-
