Date,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg),Avg Pressure (Hg),Min Pressure (Hg),Max Precipation (in),Avg Precipation (in),Min Precipation (in)
2017-11-01,59,51,43,52,38,28,75,-,50,10,-,0,30.36,-,30.26,-,0.00,-
2017-11-02,72,65,58,61,58,52,97,-,66,9,-,0,30.3,-,30.17,-,0.00,-
2017-11-03,74,63,51,59,54,35,90,-,54,15,-,0,30.22,-,29.96,-,0.00,-
2017-11-04,56,51,46,45,37,31,71,-,41,13,-,0,30.35,-,30.24,-,0.00,-
2017-11-05,61,56,51,60,53,44,100,-,71,12,-,0,30.34,-,30.04,-,0.02,-
2017-11-06,66,56,46,60,54,36,97,-,66,13,-,4,30.12,-,29.88,-,0.01,-
2017-11-07,49,45,40,39,35,32,93,-,56,13,-,0,30.22,-,30.11,-,0.70,-
2017-11-08,49,44,39,38,36,33,92,-,65,14,-,0,30.27,-,30.17,-,0.00,-
2017-11-09,55,47,39,46,39,34,85,-,54,10,-,0,30.24,-,29.95,-,0.00,-
2017-11-10,51,38,25,47,21,5,86,-,29,18,-,5,30.51,-,29.93,-,0.01,-
2017-11-11,38,31,24,16,10,6,60,-,27,13,-,0,30.57,-,30.49,-,0.00,-
2017-11-12,46,39,32,30,23,14,64,-,34,10,-,0,30.5,-,30.39,-,0.00,-
2017-11-13,47,43,39,40,34,27,89,-,53,12,-,0,30.38,-,30.27,-,0.07,-
2017-11-14,48,42,35,34,33,30,82,-,60,12,-,0,30.36,-,30.28,-,0.00,-
2017-11-15,51,44,37,41,33,28,76,-,56,10,-,0,30.31,-,30.04,-,0.00,-
2017-11-16,57,50,43,50,43,33,89,-,47,15,-,0,30.02,-,29.75,-,0.20,-
2017-11-17,47,42,37,32,21,14,67,-,28,12,-,0,30.09,-,29.91,-,0.00,-
2017-11-18,56,45,34,49,32,17,93,-,40,8,-,0,30.04,-,29.41,-,0.10,-
2017-11-19,59,49,38,56,37,24,93,-,42,20,-,4,29.79,-,29.22,-,0.23,-
2017-11-20,47,42,36,27,24,20,64,-,37,16,-,0,30.13,-,29.81,-,0.00,-
2017-11-21,58,50,42,40,31,24,59,-,33,14,-,0,30.13,-,30.01,-,0.00,-
2017-11-22,56,46,35,52,40,19,93,-,51,17,-,0,30.08,-,29.88,-,0.21,-
2017-11-23,43,37,31,21,19,17,59,-,36,9,-,0,30.12,-,30.01,-,0.00,-
2017-11-24,50,43,35,29,23,20,56,-,31,9,-,0,30.06,-,29.93,-,0.00,-
2017-11-25,57,50,43,34,32,29,62,-,39,9,-,0,29.92,-,29.67,-,0.00,-
2017-11-26,51,46,40,36,27,23,62,-,38,17,-,4,30,-,29.76,-,0.00,-
2017-11-27,51,45,39,26,24,22,54,-,36,14,-,0,30.3,-,29.95,-,0.00,-
2017-11-28,54,45,36,43,33,21,74,-,45,13,-,0,30.45,-,30.19,-,0.00,-
2017-11-29,63,53,42,44,33,19,80,-,20,15,-,0,30.32,-,30.05,-,0.00,-
2017-11-30,53,46,38,46,34,24,83,-,49,14,-,0,30.35,-,30.02,-,0.03,-
