Date,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg),Avg Pressure (Hg),Min Pressure (Hg),Max Precipation (in),Avg Precipation (in),Min Precipation (in)
2017-07-01,85,78,71,76,71,67,93,-,65,14,-,0,30,-,29.85,-,0.23,-
2017-07-02,87,80,72,71,66,61,100,-,43,12,-,0,29.99,-,29.91,-,0.00,-
2017-07-03,88,80,71,71,64,58,79,-,40,16,-,0,30.02,-,29.94,-,0.45,-
2017-07-04,85,78,70,67,59,55,84,-,42,8,-,0,30.14,-,30,-,0.00,-
2017-07-05,85,78,70,63,58,52,64,-,40,12,-,0,30.21,-,30.11,-,0.00,-
2017-07-06,77,74,71,65,61,54,73,-,46,10,-,0,30.17,-,29.97,-,0.00,-
2017-07-07,80,74,68,71,68,65,97,-,67,14,-,0,29.96,-,29.72,-,1.78,-
2017-07-08,84,77,69,70,66,60,97,-,54,16,-,0,29.87,-,29.73,-,0.00,-
2017-07-09,81,74,67,60,54,50,64,-,36,12,-,0,30.06,-,29.88,-,0.00,-
2017-07-10,84,76,68,67,60,52,69,-,43,10,-,0,30.08,-,29.95,-,0.00,-
2017-07-11,85,80,75,70,69,67,82,-,59,13,-,0,29.96,-,29.91,-,0.00,-
2017-07-12,88,83,77,71,70,69,79,-,55,16,-,0,30.01,-,29.92,-,0.00,-
2017-07-13,90,85,79,73,70,68,74,-,55,14,-,0,30.05,-,29.94,-,0.00,-
2017-07-14,73,69,65,70,66,63,97,-,79,13,-,0,30.13,-,29.96,-,0.35,-
2017-07-15,84,76,68,69,66,59,97,-,51,12,-,0,29.99,-,29.88,-,0.00,-
2017-07-16,87,78,68,65,63,61,78,-,44,9,-,0,30,-,29.93,-,0.00,-
2017-07-17,85,79,73,72,69,65,82,-,55,12,-,0,30.1,-,30,-,0.00,-
2017-07-18,88,81,73,71,69,67,87,-,53,10,-,0,30.11,-,30.04,-,0.00,-
2017-07-19,92,85,77,72,68,58,82,-,34,12,-,0,30.06,-,29.96,-,0.00,-
2017-07-20,94,86,77,72,68,62,74,-,41,12,-,0,29.99,-,29.86,-,0.01,-
2017-07-21,92,84,76,69,67,63,76,-,41,10,-,0,29.93,-,29.85,-,0.00,-
2017-07-22,92,82,71,72,66,57,79,-,32,8,-,0,29.89,-,29.75,-,0.57,-
2017-07-23,79,75,71,72,70,66,100,-,74,10,-,0,29.89,-,29.73,-,0.06,-
2017-07-24,73,68,63,68,63,58,97,-,70,15,-,4,29.96,-,29.75,-,0.74,-
2017-07-25,71,67,62,61,59,57,90,-,68,10,-,0,30.22,-,29.97,-,0.00,-
2017-07-26,77,71,65,60,56,53,78,-,49,9,-,0,30.26,-,30.14,-,0.00,-
2017-07-27,78,72,65,70,66,57,87,-,68,9,-,0,30.12,-,29.87,-,0.00,-
2017-07-28,85,78,71,70,68,60,93,-,51,12,-,0,29.89,-,29.78,-,0.00,-
2017-07-29,77,72,67,59,54,49,61,-,44,17,-,6,29.9,-,29.76,-,0.00,-
2017-07-30,82,73,64,56,51,49,63,-,33,12,-,0,30.07,-,29.9,-,0.00,-
2017-07-31,88,77,66,62,58,53,68,-,36,9,-,0,30.08,-,30,-,0.00,-
