Date,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg),Avg Pressure (Hg),Min Pressure (Hg),Max Precipation (in),Avg Precipation (in),Min Precipation (in)
2016-08-01,80,75,69,69,66,62,97,-,67,13,-,0,30.1,-,30.01,-,0.00,-
2016-08-02,79,74,68,64,61,56,79,-,56,16,-,0,30.14,-,30.04,-,0.00,-
2016-08-03,80,73,66,61,59,56,81,-,45,9,-,0,30.19,-,30.13,-,0.00,-
2016-08-04,81,74,67,63,60,57,81,-,51,8,-,0,30.19,-,30.09,-,0.00,-
2016-08-05,83,76,69,66,62,59,70,-,54,10,-,0,30.09,-,29.87,-,0.00,-
2016-08-06,87,80,72,73,68,59,82,-,51,14,-,0,29.86,-,29.69,-,0.05,-
2016-08-07,86,78,70,61,57,54,70,-,34,10,-,0,29.94,-,29.79,-,0.00,-
2016-08-08,86,79,71,67,60,54,74,-,37,8,-,0,30.12,-,29.96,-,0.00,-
2016-08-09,87,79,71,68,62,56,74,-,35,10,-,0,30.22,-,30.13,-,0.00,-
2016-08-10,86,81,75,78,73,70,87,-,61,12,-,0,30.22,-,30.08,-,0.09,-
2016-08-11,91,83,74,77,74,71,91,-,56,13,-,0,30.1,-,29.97,-,0.15,-
2016-08-12,93,83,73,78,73,70,93,-,56,13,-,0,30.06,-,29.84,-,0.32,-
2016-08-13,96,89,81,78,75,69,85,-,51,12,-,0,29.92,-,29.82,-,0.00,-
2016-08-14,94,86,78,75,72,67,91,-,49,12,-,0,30.05,-,29.88,-,0.06,-
2016-08-15,92,85,77,72,69,64,79,-,41,9,-,0,30.19,-,30.04,-,0.00,-
2016-08-16,87,83,78,78,74,70,94,-,59,13,-,0,30.19,-,29.99,-,0.11,-
2016-08-17,85,81,77,75,66,61,82,-,47,17,-,0,30.04,-,29.96,-,0.01,-
2016-08-18,85,79,72,70,66,62,90,-,51,9,-,0,30.02,-,29.92,-,0.03,-
2016-08-19,88,81,74,71,67,64,87,-,48,12,-,0,29.96,-,29.89,-,0.01,-
2016-08-20,83,77,70,71,69,67,97,-,58,16,-,0,29.98,-,29.89,-,0.82,-
2016-08-21,86,80,73,74,72,66,94,-,58,12,-,0,29.95,-,29.77,-,0.31,-
2016-08-22,79,72,65,67,55,46,79,-,38,14,-,4,30.22,-,29.81,-,0.00,-
2016-08-23,82,72,61,58,52,48,67,-,36,9,-,0,30.33,-,30.23,-,0.00,-
2016-08-24,87,78,68,64,60,55,70,-,33,6,-,0,30.3,-,30.21,-,0.00,-
2016-08-25,86,78,69,72,66,61,78,-,48,0,-,0,0,-,0,-,0.00,-
2016-08-26,90,83,75,72,67,61,83,-,40,0,-,0,0,-,0,-,0.00,-
2016-08-27,89,82,75,63,58,55,54,-,39,10,-,0,30.26,-,30.19,-,0.00,-
2016-08-28,89,81,72,67,63,58,84,-,40,7,-,0,30.27,-,30.15,-,0.00,-
2016-08-29,91,83,74,67,61,55,73,-,34,10,-,4,30.17,-,30.06,-,0.00,-
2016-08-30,86,78,69,66,60,55,74,-,44,12,-,0,30.17,-,30.04,-,0.00,-
2016-08-31,89,82,74,70,67,61,84,-,43,9,-,0,30.07,-,29.87,-,0.00,-
