Date,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg),Avg Pressure (Hg),Min Pressure (Hg),Max Precipation (in),Avg Precipation (in),Min Precipation (in)
2001-05-01,82,72,62,57,53,50,75,-,34,24,-,6,29.97,-,29.8,-,0.00,-
2001-05-02,81,72,64,59,53,50,65,-,38,16,-,8,30.01,-,29.86,-,0.00,-
2001-05-03,86,72,57,57,52,49,84,-,31,16,-,5,30.13,-,30.02,-,0.00,-
2001-05-04,60,54,48,54,47,40,93,-,69,16,-,7,30.23,-,30.13,-,0.01,-
2001-05-05,66,56,48,52,46,38,89,-,42,17,-,7,30.22,-,30.09,-,0.00,-
2001-05-06,75,65,55,63,49,35,97,-,39,25,-,5,30.13,-,29.95,-,0.18,-
2001-05-07,66,60,55,63,56,43,96,-,46,17,-,4,30.17,-,29.99,-,0.11,-
2001-05-08,75,62,48,49,45,42,83,-,34,24,-,5,30.19,-,30.05,-,0.00,-
2001-05-09,80,67,54,50,46,43,80,-,28,16,-,5,30.15,-,29.97,-,0.00,-
2001-05-10,81,69,57,62,55,43,94,-,38,17,-,0,30.02,-,29.78,-,0.23,-
2001-05-11,64,54,44,63,53,40,100,-,71,22,-,0,30.16,-,29.85,-,0.49,-
2001-05-12,57,47,39,41,34,26,86,-,39,15,-,0,30.33,-,30.17,-,0.00,-
2001-05-13,68,54,39,37,33,27,89,-,25,9,-,0,30.33,-,30.19,-,0.00,-
2001-05-14,66,54,44,53,46,36,86,-,43,22,-,0,30.19,-,29.87,-,0.12,-
2001-05-15,88,72,57,68,62,52,84,-,43,15,-,5,29.85,-,29.62,-,0.00,-
2001-05-16,89,76,64,69,63,51,90,-,28,14,-,0,29.72,-,29.55,-,0.16,-
2001-05-17,84,73,62,66,62,59,93,-,43,10,-,0,29.79,-,29.68,-,0.03,-
2001-05-18,80,66,57,58,41,32,59,-,33,17,-,4,29.92,-,29.76,-,0.00,-
2001-05-19,73,62,48,44,41,38,80,-,30,12,-,0,29.97,-,29.89,-,0.00,-
2001-05-20,77,62,48,54,48,41,80,-,34,18,-,0,29.89,-,29.57,-,0.00,-
2001-05-21,70,62,55,66,60,45,96,-,56,21,-,7,29.63,-,29.38,-,0.16,-
2001-05-22,66,53,46,46,42,38,89,-,46,25,-,5,29.75,-,29.63,-,0.07,-
2001-05-23,63,53,44,46,43,39,93,-,52,20,-,4,29.72,-,29.59,-,0.06,-
2001-05-24,60,52,44,48,46,42,100,-,58,12,-,0,29.8,-,29.69,-,0.16,-
2001-05-25,59,50,44,48,45,39,100,-,49,12,-,0,29.83,-,29.77,-,0.07,-
2001-05-26,57,47,39,50,44,27,100,-,41,20,-,0,29.81,-,29.57,-,0.79,-
2001-05-27,61,54,48,52,49,46,96,-,67,16,-,0,29.83,-,29.62,-,0.17,-
2001-05-28,66,58,51,56,52,48,97,-,57,10,-,0,29.97,-,29.82,-,0.09,-
2001-05-29,62,53,44,52,44,33,97,-,39,20,-,0,30.19,-,29.98,-,0.00,-
2001-05-30,60,52,45,39,35,31,80,-,36,14,-,0,30.23,-,30.16,-,0.00,-
2001-05-31,62,54,48,50,46,34,96,-,48,18,-,5,30.14,-,29.67,-,0.35,-
